from_code,from_name,to_code,to_name,distance_km
548803,Ələt eksport-Türk.,548803,Ələt eksport-Türk.,0.0
548803,Ələt eksport-Türk.,549204,Ələt eksport-Aktau,0.0
547302,Bakı ticarət liman,547508,Yalama (eksport),271.0
547302,Bakı ticarət liman,554503,Astara (eksport),253.0
547302,Bakı ticarət liman,558701,Böyük Kəsik (eksport),429.0
547302,Bakı ticarət liman,550108,Culfa (eksport),419.0
547302,Bakı ticarət liman,553002,Ələt eksport-Kurik,0.0
547302,Bakı ticarət liman,548803,Ələt eksport-Türk.,0.0
547302,Bakı ticarət liman,549204,Ələt eksport-Aktau,0.0
547406,Bakı ticarət limanı (eks),547508,Yalama (eksport),271.0
547406,Bakı ticarət limanı (eks),554503,Astara (eksport),253.0
547406,Bakı ticarət limanı (eks),558701,Böyük Kəsik (eksport),429.0
547406,Bakı ticarət limanı (eks),550108,Culfa (eksport),419.0
547406,Bakı ticarət limanı (eks),553002,Ələt eksport-Kurik,0.0
547406,Bakı ticarət limanı (eks),548803,Ələt eksport-Türk.,0.0
547406,Bakı ticarət limanı (eks),549204,Ələt eksport-Aktau,0.0
547209,Bakı ticarət limanı (aşır),547508,Yalama (eksport),271.0
547209,Bakı ticarət limanı (aşır),554503,Astara (eksport),253.0
547209,Bakı ticarət limanı (aşır),558701,Böyük Kəsik (eksport),429.0
547209,Bakı ticarət limanı (aşır),550108,Culfa (eksport),419.0
547209,Bakı ticarət limanı (aşır),553002,Ələt eksport-Kurik,0.0
547209,Bakı ticarət limanı (aşır),548803,Ələt eksport-Türk.,0.0
547209,Bakı ticarət limanı (aşır),549204,Ələt eksport-Aktau,0.0
548703,Ələt yeni,547508,Yalama (eksport),266.0
548703,Ələt yeni,554503,Astara (eksport),238.0
548703,Ələt yeni,558701,Böyük Kəsik (eksport),424.0
548703,Ələt yeni,550108,Culfa (eksport),404.0
548703,Ələt yeni,553002,Ələt eksport-Kurik,15.0
548703,Ələt yeni,548803,Ələt eksport-Türk.,15.0
548703,Ələt yeni,549204,Ələt eksport-Aktau,15.0
557304,Əsgəran,547508,Yalama (eksport),563.0
557304,Əsgəran,554503,Astara (eksport),469.0
557304,Əsgəran,558701,Böyük Kəsik (eksport),301.0
557304,Əsgəran,550108,Culfa (eksport),635.0
557304,Əsgəran,553002,Ələt eksport-Kurik,312.0
557304,Əsgəran,548803,Ələt eksport-Türk.,312.0
557304,Əsgəran,549204,Ələt eksport-Aktau,312.0
556208,Gəncə,547508,Yalama (eksport),539.0
556208,Gəncə,554503,Astara (eksport),445.0
556208,Gəncə,558701,Böyük Kəsik (eksport),141.0
556208,Gəncə,550108,Culfa (eksport),611.0
556208,Gəncə,553002,Ələt eksport-Kurik,288.0
556208,Gəncə,548803,Ələt eksport-Türk.,288.0
556208,Gəncə,549204,Ələt eksport-Aktau,288.0
546009,Giləzi,547508,Yalama (eksport),125.0
546009,Giləzi,554503,Astara (eksport),379.0
546009,Giləzi,558701,Böyük Kəsik (eksport),555.0
546009,Giləzi,550108,Culfa (eksport),545.0
546009,Giləzi,553002,Ələt eksport-Kurik,146.0
546009,Giləzi,548803,Ələt eksport-Türk.,146.0
546009,Giləzi,549204,Ələt eksport-Aktau,146.0
555900,Goran,547508,Yalama (eksport),496.0
555900,Goran,554503,Astara (eksport),402.0
555900,Goran,558701,Böyük Kəsik (eksport),184.0
555900,Goran,550108,Culfa (eksport),568.0
555900,Goran,553002,Ələt eksport-Kurik,245.0
555900,Goran,548803,Ələt eksport-Türk.,245.0
555900,Goran,549204,Ələt eksport-Aktau,245.0
554402,Göylərçöl,547508,Yalama (eksport),366.0
554402,Göylərçöl,554503,Astara (eksport),272.0
554402,Göylərçöl,558701,Böyük Kəsik (eksport),362.0
554402,Göylərçöl,550108,Culfa (eksport),438.0
554402,Göylərçöl,553002,Ələt eksport-Kurik,115.0
554402,Göylərçöl,548803,Ələt eksport-Türk.,115.0
554402,Göylərçöl,549204,Ələt eksport-Aktau,115.0
553801,Gövşaban,547508,Yalama (eksport),469.0
553801,Gövşaban,554503,Astara (eksport),35.0
553801,Gövşaban,558701,Böyük Kəsik (eksport),551.0
553801,Gövşaban,550108,Culfa (eksport),497.0
553801,Gövşaban,553002,Ələt eksport-Kurik,218.0
553801,Gövşaban,548803,Ələt eksport-Türk.,218.0
553801,Gövşaban,549204,Ələt eksport-Aktau,218.0
546600,Güzdək,547508,Yalama (eksport),177.0
546600,Güzdək,554503,Astara (eksport),327.0
546600,Güzdək,558701,Böyük Kəsik (eksport),503.0
546600,Güzdək,550108,Culfa (eksport),493.0
546600,Güzdək,553002,Ələt eksport-Kurik,94.0
546600,Güzdək,548803,Ələt eksport-Türk.,94.0
546600,Güzdək,549204,Ələt eksport-Aktau,94.0
554202,Hacıqabul,547508,Yalama (eksport),304.0
554202,Hacıqabul,554503,Astara (eksport),210.0
554202,Hacıqabul,558701,Böyük Kəsik (eksport),376.0
554202,Hacıqabul,550108,Culfa (eksport),376.0
554202,Hacıqabul,553002,Ələt eksport-Kurik,53.0
554202,Hacıqabul,548803,Ələt eksport-Türk.,53.0
554202,Hacıqabul,549204,Ələt eksport-Aktau,53.0
551505,Həkəri,547508,Yalama (eksport),530.0
551505,Həkəri,554503,Astara (eksport),392.0
551505,Həkəri,558701,Böyük Kəsik (eksport),612.0
551505,Həkəri,550108,Culfa (eksport),140.0
551505,Həkəri,553002,Ələt eksport-Kurik,279.0
551505,Həkəri,548803,Ələt eksport-Türk.,279.0
551505,Həkəri,549204,Ələt eksport-Aktau,279.0
551806,Horadiz,547508,Yalama (eksport),464.0
551806,Horadiz,554503,Astara (eksport),326.0
551806,Horadiz,558701,Böyük Kəsik (eksport),546.0
551806,Horadiz,550108,Culfa (eksport),206.0
551806,Horadiz,553002,Ələt eksport-Kurik,213.0
551806,Horadiz,548803,Ələt eksport-Türk.,213.0
551806,Horadiz,549204,Ələt eksport-Aktau,213.0
547800,Hövsan,547508,Yalama (eksport),232.0
547800,Hövsan,554503,Astara (eksport),352.0
547800,Hövsan,558701,Böyük Kəsik (eksport),528.0
547800,Hövsan,550108,Culfa (eksport),527.0
547800,Hövsan,553002,Ələt eksport-Kurik,119.0
547800,Hövsan,548803,Ələt eksport-Türk.,119.0
547800,Hövsan,549204,Ələt eksport-Aktau,119.0
552207,İmişli,547508,Yalama (eksport),386.0
552207,İmişli,554503,Astara (eksport),248.0
552207,İmişli,558701,Böyük Kəsik (eksport),468.0
