Раздел,Глава,Наименование,GNG_text
02,0207,"Спинки,  шейки,  спинки  вместе  с  шейкой,  гузки  и  тонкие  концы  крыльев  индеек,  свежие  или охлажденные, необваленные",02072640
02,0207,"Грудки и куски из них индеек, свежие или охлажденные, необваленные",02072650
02,0207,"Голени и куски из них индеек, свежие или охлажденные, необваленные",02072660
02,0207,"Ножки и куски из них прочие индеек, свежие или охлажденные, необваленные",02072670
02,0207,"Части тушек индеек, свежие или охлажденные, обваленные, прочие",02072680
02,0207,Печень индейки свежая или охлажденная,02072691
02,0207,"Субпродукты индеек, прочие, свежие или охлажденные",02072699
02,0207,"Части тушек и субпродукты индеек, замороженные",02072700
02,0207,"Части тушек индеек, замороженные, обваленные",02072710
02,0207,"Половины или четвертины индеек, замороженные, необваленные",02072720
02,0207,"Крылья индейки цельные, с тонким концом или без него, замороженные, необваленные",02072730
02,0207,"Спинки,  шейки,  спинки  вместе  с  шейкой,  гузки  и  тонкие  концы  крыльев  индеек,  замороженные, необваленные",02072740
02,0207,"Грудки и куски из них, замороженные, необваленные",02072750
02,0207,"Голени и куски из них, замороженные, необваленные",02072760
02,0207,"Ножки и куски из них прочие, необваленные",02072770
02,0207,"Части тушек, замороженные, необваленные, прочие",02072780
02,0207,Печень индейки замороженная,02072791
02,0207,"Субпродукты индейки, замороженные, прочие",02072799
02,0207,"Мясо и пищевые субпродукты уток, не разделенные на части, свежие или охлажденные",02074100
02,0207,"Мясо   и   пищевые   субпродукты   уток,   не   разделенные   на   части,   свежие   или   охлажденные, ощипанные,   обескровленные,   без   кишок,   но   не   потрошеные,   с   головой   и   плюснами   ног,
представленное как ""85%-ные утки"", неразделанны",02074120
02,0207,"Мясо   и   пищевые   субпродукты   уток,   не   разделенные   на   части,   свежие   или   охлажденные,
ощипанные и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком, представленные как ""70%-ные утки""",02074130
02,0207,"Мясо   и   пищевые   субпродукты   уток,   не   разделенные   на   части,   свежие   или   охлажденные, ощипанные  и  потрошеные,  без  головы  и  плюсен  ног,  без  шейки,  сердца,  печени  и  мускульного
желудка, представленные как ""63%-ные утки"", или п",02074180
02,0207,"Мясо и пищевые субпродукты уток, не разделенные на части, мороженые",02074200
02,0207,"Мясо   и   пищевые   субпродукты   уток,   не   разделенные   на   части,   мороженые,   ощипанные   и потрошеные, без головы и плюсен ног, но с шейкой, сердцем, печенью и мускульным желудком,
представленные как ""70%-ные утки""",02074230
02,0207,"Мясо   и   пищевые   субпродукты   уток,   не   разделенные   на   части,   мороженые,   ощипанные   и потрошеные,  без  головы  и  плюсен  ног,  без  шейки,  сердца,  печени  и  мускульного  желудка, представленные как ""63%-ные утки"", или представленные ",02074280
02,0207,"Печень жирная, свежая или охлажденная, утиная",02074300
02,0207,"Мясо и пищевые субпродукты уток, свежие или охлажденные, прочие",02074400
02,0207,"Части тушек уток, свежие или охлажденные, обваленные",02074410
02,0207,"Половины или четвертины тушек уток, свежие или охлажденные, необваленные",02074421
02,0207,"Крылья цельные, с тонким концом или без него уток, свежие или охлажденные, необваленные",02074431
02,0207,"Спинки,  шейки,  спинки  вместе  с  шейкой,  гузки  и  тонкие  концы  крыльев  уток,  свежие  или охлажденные, необваленные",02074441
02,0207,"Грудки уток и куски из них, свежие или охлажденные, необваленные",02074451
02,0207,"Ножки уток и куски из них, свежие или охлажденные, необваленные",02074461
02,0207,"Палетоты утиные, свежие или охлажденные, необваленные",02074471
02,0207,"Части тушек уток прочие, свежие или охлажденные, необваленные",02074481
02,0207,"Печень, кроме жирной, уток, свежая или охлажденная",02074491
02,0207,"Субпродукты прочие уток, кроме печени, свежие или охлажденные",02074499
02,0207,"Мясо и пищевые субпродукты уток, замороженные, прочие",02074500
02,0207,"Части тушек уток замороженные, прочие, обваленные",02074510
02,0207,"Половины или четвертины тушек уток замороженные, прочие, необваленные",02074521
02,0207,"Крылья цельные, с тонким концом или без него замороженные уток, прочие, необваленные",02074531
02,0207,"Спинки,  шейки,  спинки  вместе  с  шейкой,  гузки  и  тонкие  концы  крыльев  уток,  замороженные, необваленные",02074541
02,0207,"Грудки уток и куски из них замороженные, прочие, необваленные",02074551
02,0207,"Ножки уток и куски из них замороженные, прочие, необваленные",02074561
02,0207,"Палетоты утиные, замороженные, прочие, необваленные",02074571
02,0207,"Части тушек уток прочие, замороженные, необваленные",02074581
02,0207,Печень жирная утиная замороженная,02074593
02,0207,"Печень замороженная, прочая",02074595
02,0207,"Субпродукты прочие уток, кроме печени, замороженные",02074599
02,0207,"Мясо и пищевые субпродукты гусей, не разделенные на части, свежие или охлажденные",02075100
02,0207,"Мясо   и   пищевые   субпродукты   гусей,   не   разделенные   на   части,   свежие   или   охлажденные, ощипанные,  обескровленные,  непотрошеные,  с  головой  и  плюснами  ног,  представленные  как ""82%-ные гуси""",02075110
